id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1595460554.030100,U01692ECHKR,I appreciate the kind words! Most curious what you have done with it so far.,"Mon, 19 Jan 1970 11:11:00 GMT",1595460554.030100,,,0
1595474419.030200,U016QN5HLLB,"So far its a key piece to our Miro board! As we hope to start implementing something ""radically beautiful."" Intrinsic value(s) made visible &amp; extrinsic value(s) made invisible via SC is very recent breakthrough for myself.

Coming mainly from alignments w/ the DaDa ""invisible economy whitepaper."" It affirmed our independent whitepaper draft, that posits a tangible return to indigenous modes of exchange &amp; trade via PoX, FTs then NFTs once self sustainability is achieved. Primavera being one of our core references on long term blockchain based systems; her review of DaDa's almost identical model for art markets, gives us very good feelings. And we hope to work w/her via MITs Fabacademy connection soon!

Not only will your work help us experiment &amp; hopefully implement a tangible return to indigenous modes of trade n exchange via barter contracts. But the women in this <https://www.youtube.com/watch?v=D7qML81Akus&amp;feature=youtu.be|video> layout a beautiful means of important indigenous alignments of commons at the organization *model level;* along with intrinsic value(s) distribution trends tracking..via indigenous modes of exchange tracking.

This on top of other pieces to our interdisciplinary systems design model; including matrilineal council provenance, DAOs, MIDs etc! You're truly going to be a household name for us if we can do this ambitious work with Lumio's help! haha for real mane","Mon, 19 Jan 1970 11:11:14 GMT",1595460554.030100,,,0
1595449605.029500,U016QN5HLLB,Yes! Can't express the gratitude for this! You may have saved me from a few shaved years off my life mane :joy:,"Mon, 19 Jan 1970 11:10:49 GMT",,,,0
1595448469.027500,U01692ECHKR,"<@U016QN5HLLB> if you are talking about <http://Lumio.app|Lumio.app> (drag &amp; drop Clarity tool), that one is mine!","Mon, 19 Jan 1970 11:10:48 GMT",,U016QN5HLLB,"[{""name"":""fire"",""users"":[""U016W05TXUL"",""U016QN5HLLB"",""U016A43FT0F""],""count"":3}]",3
1595447413.026000,U016QN5HLLB,"Sharing this <!here> Join us in <#C017Y2DLVS4|indigenous-protocols> for more discussion!
Pretty cool IDE &amp; drag n drop SC writing tools for the current Stacks2 testnet. Along with a tool for wallet management.

Also to Vinay Gupta's point on the vulnerabilities of Solidity in recent airmeet. Vinay has been pivotal for our understanding of the full scope of blockchain based systems. Especially in context of the next iterations of world trade.
Here is good work from Jude Nelson, Princeton engineer for Stacks core, on advantages of <https://blog.blockstack.org/bringing-clarity-to-8-dangerous-smart-contract-vulnerabilities/|Clarity SC language>.

Also worth noting Blockstack has been in careful R+D since early days of BTC! Slow n steady has proven to have some big legal &amp; security advantages, as a very powerful mainnet release gears up. A unique capacity for security &amp; scalability in the important work of this jam may prove worth at least diversifying protocol models.

P.S. Some more of Jude's prolific genius wrapped in an <https://blog.blockstack.org/ama-with-jude-nelson-app-chains-clarity-smart-contracts-stacking-jude/|AMA format>. Really broadened our scope of nuances in what exactly is possible, in general, in secure &amp; scalable networks.  :pray::skin-tone-5:","Mon, 19 Jan 1970 11:10:47 GMT",,,"[{""name"":""raised_hands"",""users"":[""U0169MPEV3R""],""count"":1}]",1
1595410309.025200,U0169MPEV3R,"Hey everyone! I recently read about Aztec's ZK² Rollup (using snarks for both scaling and privacy). Is there something similar that's also worth checking out?
Moreover, what's your opinion on choosing something like Engima / Secret Network for achieving privacy?
Thanks a lot :slightly_smiling_face:","Mon, 19 Jan 1970 11:10:10 GMT",1595410309.025200,,,0
1595443158.025300,U016QN5HLLB,"Hey Robin,
Are you familiar with Blockstack?","Mon, 19 Jan 1970 11:10:43 GMT",1595410309.025200,,,0
1595447485.026300,U0169MPEV3R,<@U016QN5HLLB> was quite a while ago that I took a look at it. But I will check it out again! Thanks for the recommendation,"Mon, 19 Jan 1970 11:10:47 GMT",1595410309.025200,U016QN5HLLB,,0
1595447560.026500,U016QN5HLLB,Just Posted some things in <#C0168F36R0W|jam-privacy> &amp; <#C016PLN64KX|jam-dao> too.,"Mon, 19 Jan 1970 11:10:47 GMT",1595410309.025200,,"[{""name"":""+1"",""users"":[""U0169MPEV3R""],""count"":1}]",1
1595002606.022300,U016C909613,"<@U016C909613> has renamed the channel from ""privacy"" to ""jam-privacy""","Mon, 19 Jan 1970 11:03:22 GMT",,,,0
1595002598.022200,U016R8MQL4D,<@U016R8MQL4D> has joined the channel,"Mon, 19 Jan 1970 11:03:22 GMT",,,,0
1595002598.022000,U016SKT2WLS,<@U016SKT2WLS> has joined the channel,"Mon, 19 Jan 1970 11:03:22 GMT",,,,0
1595002598.021800,U016W05TXUL,<@U016W05TXUL> has joined the channel,"Mon, 19 Jan 1970 11:03:22 GMT",,,,0
1595002595.021400,U016C909613,"<@U016W05TXUL> using <@U016SKT2WLS> and <@U016R8MQL4D>’s Umbra Protocol with PrivaSwap, really cool project on Keep Network :slightly_smiling_face:","Mon, 19 Jan 1970 11:03:22 GMT",1595002595.021400,"U016W05TXUL,U016SKT2WLS,U016R8MQL4D","[{""name"":""raised_hands"",""users"":[""U016M08G1M4"",""U016SKT2WLS""],""count"":2}]",2
1595033691.022600,U016SKT2WLS,So cool! Love it :heart:,"Mon, 19 Jan 1970 11:03:53 GMT",1595002595.021400,,"[{""name"":""raised_hands"",""users"":[""U016W05TXUL""],""count"":1}]",1
1594404597.014700,U016C909613,"for those who might be interested / if nuCypher is interesting to use in your projects… NuCypher team for sure would be down to jam with you if you’re interested in building with them :pray:

“Any project using NuCypher technology, including proxy re-encryption for managing permissions over encrypted data or nuFHE. <https://blog.nucypher.com/ethny-nucypher/|Check here for some examples.>”

<https://gitcoin.co/issue/nucypher/hackathon/8/100023187>","Mon, 19 Jan 1970 10:53:24 GMT",,,,0
1594404529.013500,U016C909613,hehe bridge would be awesome if possible…,"Mon, 19 Jan 1970 10:53:24 GMT",,,,0
1594388302.012800,U016Q825Y3U,I know it's only slightly silly but wondering if we should move the privacy channel to Status?  :slightly_smiling_face: Or maybe at least do a Status bridge for this channel?,"Mon, 19 Jan 1970 10:53:08 GMT",,,,0
1594346921.011600,U016M08G1M4,<@U016M08G1M4> has joined the channel,"Mon, 19 Jan 1970 10:52:26 GMT",,,,0
1594346917.011400,U0169FVV2LF,<@U016M08G1M4> I just saw your video about using a filter to determine data leaks on ocean protocol. Would love to chat with you more and see if it will work for my use case above :point_up:,"Mon, 19 Jan 1970 10:52:26 GMT",,U016M08G1M4,,0
1594345722.009700,U0169FVV2LF,"Hey privacy group! I want to work on a decentralized compute service and would love to hear if anyone has ideas on how to maintain data privacy, and how to isolate threads in a server so that a single “node” or compute provider can run multiple jobs from different parties without there being any data or execution compromise","Mon, 19 Jan 1970 10:52:25 GMT",1594345722.009700,,,0
1594392101.013000,U016M08G1M4,"I can give input on the first part, but not the second, because I don’t think I understand the second part correctly to be able to comment

From the brief stint for Ocean, as you have said <@U0169FVV2LF>, I had to write the kubernetes pod that would run in between the algorithm pod (the bit where your algo runs on someone’s data) and the publish pod (the bit that is responsible for publishing the results). For those unfamiliar with pods, for the purposes of this explanation, you can assume it to be like a Docker container. For those unfamiliar with Docker, just think about the pods as some applications.

Algorithm runs on data app -&gt; data leakage prevention app -&gt; publish results app

There were a number of conditions that I had to fulfil:

1. published data is not a 1-1 copy
2. results not correlated to inputs
3. published results are not encrypted
4. published results do not contain some keywords
3. is fairly easy to identify with Shannon’s entropy. You can check out my submission repo for this. The idea is that if the data is encrypted, then its entropy is high

1 and 4 are trivial. 4 I have implemented per environment per data category. For example, for production environment for maths data cateogry you get different keywords than you do for development environment for the same category. I have done this from the perspective that you might want to use different keywords for developing / testing.

Not correlated outputs is a controversial one. First of all, you may have multiple output files (the user can do whatever they want to do in their algorithm in Ocean), as well as inputs. Plus, what threshold would you set for this. It must be different for different data. If we take a step back, is this really a good / strong condition for preventing the leaks? Probably, not. It is too complex to properly define. My approach was generalist. To meet the requirements of the task, I have simply used block entropy correlation. I compare entropies of blocks of bytes in a single input to a single output. This solves the problem of different file types. But has a limitation that you must have a single input and a single output.

My personal insights after completing this task:

1. this is an incredibly difficult task, and will certainly require adjusting a few parameters from time to time
2. I don’t think making the conditions you use open source (the code) is a good idea. Because malicious agents can then more easily game you.
3. Someone popped up in Ocean’s Discord when I finished the hack and asked about why they aren’t looking at WhiteNoise DP. Haven’t looked myself, but would be interested to know how it would aid in Data Protection.","Mon, 19 Jan 1970 10:53:12 GMT",1594345722.009700,,,0
1594470205.017900,U0169FVV2LF,<@U016M08G1M4> ok I think I understand. What prevents leaks at the start and end. When data comes from Alice to me as the compute provider. And when the result goes from me back to Alice?,"Mon, 19 Jan 1970 10:54:30 GMT",1594345722.009700,U016M08G1M4,,0
1594593755.020200,U016M08G1M4,Since you are a compute provider - you hold the data. Alice runs her Algidras on it. End: filter pod to some degree,"Mon, 19 Jan 1970 10:56:33 GMT",1594345722.009700,,,0
1594319533.005900,U016C909613,adding <@U016QF0J6G3> who i know is def into privacy conversations :slightly_smiling_face:,"Mon, 19 Jan 1970 10:51:59 GMT",,U016QF0J6G3,"[{""name"":""party_parrot"",""users"":[""U0172CTQ3A5""],""count"":1},{""name"":""grin"",""users"":[""U016QF0J6G3""],""count"":1}]",2
1594319514.005400,U016QF0J6G3,<@U016QF0J6G3> has joined the channel,"Mon, 19 Jan 1970 10:51:59 GMT",,,,0
1594319132.005200,U016PEM9U5B,<@U01692CEFQF> and I were just talking - who here has knowledge about enclave computing? We know the basics but it factors pretty heavily into an idea we were just kicking around ….,"Mon, 19 Jan 1970 10:51:59 GMT",,U01692CEFQF,,0
1594280866.003800,U017DN0DZ08,<@U017DN0DZ08> has joined the channel,"Mon, 19 Jan 1970 10:51:20 GMT",,,,0
1594245075.003600,U016PEM9U5B,<@U016PEM9U5B> has joined the channel,"Mon, 19 Jan 1970 10:50:45 GMT",,,,0
1594231213.003400,U0169JE8HV5,<@U0169JE8HV5> has joined the channel,"Mon, 19 Jan 1970 10:50:31 GMT",,,,0
1594230062.003200,U016Y4634MS,<@U016Y4634MS> has joined the channel,"Mon, 19 Jan 1970 10:50:30 GMT",,,,0
1594228668.003000,U0169D94QCX,<@U0169D94QCX> has joined the channel,"Mon, 19 Jan 1970 10:50:28 GMT",,,,0
1594222597.002800,U0172CTQ3A5,<@U0172CTQ3A5> has joined the channel,"Mon, 19 Jan 1970 10:50:22 GMT",,,,0
1594220299.002600,U016Q825Y3U,<@U016Q825Y3U> has joined the channel,"Mon, 19 Jan 1970 10:50:20 GMT",,,,0
1594216546.002400,U016C8XH6NR,<@U016C8XH6NR> has joined the channel,"Mon, 19 Jan 1970 10:50:16 GMT",,,,0
1594210412.002200,U01733WAA1F,<@U01733WAA1F> has joined the channel,"Mon, 19 Jan 1970 10:50:10 GMT",,,,0
1594206871.002000,U016Q6Q9CLA,<@U016Q6Q9CLA> has joined the channel,"Mon, 19 Jan 1970 10:50:06 GMT",,,,0
1594201866.001800,U016A43FT0F,<@U016A43FT0F> has joined the channel,"Mon, 19 Jan 1970 10:50:01 GMT",,,,0
1594188384.001600,U016Q01RH5H,<@U016Q01RH5H> has joined the channel,"Mon, 19 Jan 1970 10:49:48 GMT",,,,0
1594186554.001400,U0172CM3049,<@U0172CM3049> has joined the channel,"Mon, 19 Jan 1970 10:49:46 GMT",,,,0
1594173891.001200,U0169FVV2LF,<@U0169FVV2LF> has joined the channel,"Mon, 19 Jan 1970 10:49:33 GMT",,,,0
1594163963.001000,U016Q1TSFSN,<@U016Q1TSFSN> has joined the channel,"Mon, 19 Jan 1970 10:49:23 GMT",,,,0
1594160790.000800,U017DK86Y6L,<@U017DK86Y6L> has joined the channel,"Mon, 19 Jan 1970 10:49:20 GMT",,,,0
